load_zone	fuel	period	fuel_cost
1	DistillateFuelOil	2015	25.5921300783
1	DistillateFuelOil	2025	28.2317491229196
1	DistillateFuelOil	2035	29.6755245008815
1	DistillateFuelOil	2045	31.1931347422363
S1	Bio_Liquid	2015	2.80718124756681
S1	Bio_Liquid	2025	3.54789493222599
S1	Bio_Liquid	2035	3.8811394985983
S1	Bio_Liquid	2045	4.07962148502534
S1	Bio_Solid	2015	2.80718124756681
S1	Bio_Solid	2025	3.54789493222599
S1	Bio_Solid	2035	3.8811394985983
S1	Bio_Solid	2045	4.07962148502534
S1	Coal	2015	5.47426191526667
S1	Coal	2025	6.37213708123938
S1	Coal	2035	6.83517211633673
S1	Coal	2045	7.18472372088772
S1	DistillateFuelOil	2015	29.0405560885
S1	DistillateFuelOil	2025	32.0358520891025
S1	DistillateFuelOil	2035	33.674169793941
S1	DistillateFuelOil	2045	35.3962712835671
S1	Gas	2015	12.4355076735333
S1	Gas	2025	14.9597361778302
S1	Gas	2035	15.886271358225
S1	Gas	2045	16.6986973731205
S10	Bio_Liquid	2015	2.80718124756681
S10	Bio_Liquid	2025	3.54789493222599
S10	Bio_Liquid	2035	3.8811394985983
S10	Bio_Liquid	2045	4.07962148502534
S10	Bio_Solid	2015	2.80718124756681
S10	Bio_Solid	2025	3.54789493222599
S10	Bio_Solid	2035	3.8811394985983
S10	Bio_Solid	2045	4.07962148502534
S10	Coal	2015	5.7460633818
S10	Coal	2025	6.68851876582581
S10	Coal	2035	7.17454385963584
S10	Coal	2045	7.54145097995006
S10	DistillateFuelOil	2015	30.1068330495
S10	DistillateFuelOil	2025	33.2121068042251
S10	DistillateFuelOil	2035	34.9105783319739
S10	DistillateFuelOil	2045	36.6959099174914
S11	DistillateFuelOil	2015	25.5921300783
S11	DistillateFuelOil	2025	28.2317491229196
S11	DistillateFuelOil	2035	29.6755245008815
S11	DistillateFuelOil	2045	31.1931347422363
S12	DistillateFuelOil	2015	32.473678311
S12	DistillateFuelOil	2025	35.8230728125469
S12	DistillateFuelOil	2035	37.6550694890951
S12	DistillateFuelOil	2045	39.5807547147726
S13	Coal	2015	5.47426191526666
S13	Coal	2025	6.37213708123937
S13	Coal	2035	6.83517211633673
S13	Coal	2045	7.18472372088772
