generation_technology	investment_period	g_overnight_cost	g_fixed_o_m
Bio_Gas	2015	2184709.7283822	123961.25
Bio_Gas	2025	1889734.06017953	123961.25
Bio_Gas	2035	1634585.48831886	123961.25
Bio_Gas	2045	1454687.15421016	123961.25
Biomass_Steam_Turbine	2015	3414391.63156094	100400.475
Biomass_Steam_Turbine	2025	3275508.02280508	100400.475
Biomass_Steam_Turbine	2035	3142273.63618378	100400.475
Biomass_Steam_Turbine	2045	3039459.06244467	100400.475
CCGT	2015	842844.737922681	7234.8885
CCGT	2025	806562.175050877	7234.8885
CCGT	2035	771841.494586729	7234.8885
CCGT	2045	745105.754434117	7234.8885
Coal_Steam_Turbine	2015	1939664.68121705	29491.045395
Coal_Steam_Turbine	2025	1831995.00225095	29491.045395
Coal_Steam_Turbine	2035	1730302.00568821	29491.045395
Coal_Steam_Turbine	2045	1652883.49047824	29491.045395
DistillateFuelOil_Combustion_Turbine	2015	489863.0807	17557.47
DistillateFuelOil_Combustion_Turbine	2025	489863.0807	17557.47
DistillateFuelOil_Combustion_Turbine	2035	489863.0807	17557.47
DistillateFuelOil_Combustion_Turbine	2045	489863.0807	17557.47
DistillateFuelOil_Internal_Combustion_Engine	2015	489863.0807	17557.47
DistillateFuelOil_Internal_Combustion_Engine	2025	489863.0807	17557.47
DistillateFuelOil_Internal_Combustion_Engine	2035	489863.0807	17557.47
DistillateFuelOil_Internal_Combustion_Engine	2045	489863.0807	17557.47
Gas_Combustion_Turbine	2015	556484.459700001	16477.7865
Gas_Combustion_Turbine	2025	556484.459700001	16477.7865
Gas_Combustion_Turbine	2035	556484.459700001	16477.7865
Gas_Combustion_Turbine	2045	556484.4597	16477.7865
Geothermal	2015	3586542.02866201	47869.332
Geothermal	2025	3332277.13365855	47869.332
Geothermal	2035	3096038.13555367	47869.332
Geothermal	2045	2918742.86405583	47869.332
Wind	2015	1682814.30340092	13823.985
Wind	2025	1452324.08244047	13823.985
Wind	2035	1253403.44218244	13823.985
Wind	2045	1113426.44321126	13823.985
