LOAD_ZONE	lz_cost_multipliers	lz_ccs_distance_km	lz_dbid	existing_local_td	local_td_annual_cost_per_mw
S1	1.0	0	1	782.046	332862.906
S2	1.0	0	2	17.2385	218397.3377
S3	1.0	0	3	151.639	141752.5255
S4	1.0	0	4	1905.435	109758.9649
S5	1.0	0	5	98.831	190706.5451
S6	1.0	0	6	589.1335	135934.1317
S7	1.0	0	7	173.3625	182794.8901
S8	1.0	0	8	370.3805	178131.2258
S9	1.0	0	9	379.0745	191745.6064
S10	1.0	0	10	360.9275	238925.7465
S11	1.0	0	11	13.087	0.01
S12	1.0	0	12	65.113	218397.3377
S13	1.0	0	13	86.8595	178839.0626
S14	1.0	0	14	18.7565	327555.2257
S15	1.0	0	15	23.2415	123723.3351
S16	1.0	0	16	65.9985	123723.3351
S17	1.0	0	17	12.8915	123723.3351
S18	1.0	0	18	375.4175	280381.4796
S19	1.0	0	19	127.6845	149032.5521
S20	1.0	0	20	45.126	123723.3351
S21	1.0	0	21	3.059	0.01
S22	1.0	0	22	96.0595	123723.3351
1	1.0	0	23	0	0.01
