LOAD_ZONE	TIMEPOINT	lz_demand_mw
1	324505	0
1	324509	0
1	324513	0
1	324517	0
1	324521	0
1	324525	0
1	325036	0
1	325040	0
1	325044	0
1	325048	0
1	325052	0
1	325056	0
1	412249	0
1	412253	0
1	412257	0
1	412261	0
1	412265	0
1	412269	0
1	412708	0
1	412712	0
1	412716	0
1	412720	0
1	412724	0
1	412728	0
1	499897	0
1	499901	0
1	499905	0
1	499909	0
1	499913	0
1	499917	0
1	500186	0
1	500190	0
1	500194	0
1	500198	0
1	500202	0
1	500206	0
1	587569	0
1	587573	0
1	587577	0
1	587581	0
1	587585	0
1	587589	0
1	587858	0
1	587862	0
1	587866	0
1	587870	0
1	587874	0
1	587878	0
S1	324505	526.639093741717
S1	324509	441.546647184734
S1	324513	597.054392493339
S1	324517	695.431763927444
S1	324521	665.177583555642
S1	324525	606.696014933499
S1	325036	556.258704920295
S1	325040	562.066927686729
S1	325044	683.753776123682
S1	325048	714.41276787737
S1	325052	682.477799707133
S1	325056	729.833893357546
S1	412249	935.830242922182
S1	412253	705.17974499354
S1	412257	812.527121023369
S1	412261	998.871984208682
S1	412265	1013.72145980942
S1	412269	917.327138435508
S1	412708	796.395155111654
S1	412712	804.710783128046
S1	412716	978.929749373045
S1	412720	1022.82420401667
S1	412724	977.102934930075
S1	412728	1044.90261737029
S1	499897	1359.5193948656
S1	499901	1024.44385339748
S1	499905	1180.39183734462
S1	499909	1451.10274624082
S1	499913	1472.67519512828
S1	499917	1332.63916781041
S1	500186	1241.5137758591
S1	500190	1109.78359647786
S1	500194	1411.26027636124
S1	500198	1441.86106817708
S1	500202	1644.73140402924
S1	500206	1580.76215257484
S1	587569	1968.3210216388
S1	587573	1483.19647350838
S1	587577	1708.97897888831
S1	587581	2100.91599338011
S1	587585	2132.14872517767
S1	587589	1929.40365409041
S1	587858	1797.4717189814
S1	587862	1606.75190855459
S1	587866	2043.2318063695
S1	587870	2087.53583177538
S1	587874	2381.25282340697
S1	587878	2288.63772512171
S10	324505	433.358228503103
S10	324509	389.969625698039
S10	324513	452.564332038647
S10	324517	523.985470812784
S10	324521	515.529078062037
S10	324525	472.05695532857
S10	325036	406.83021124428
S10	325040	383.15231154219
S10	325044	483.001545946306
S10	325048	497.865773203928
S10	325052	449.075055029834
S10	325056	501.598650003915
S10	412249	698.900315504655
S10	412253	602.846765929975
S10	412257	641.22701760042
S10	412261	725.998844765771
S10	412265	743.668218791767
S10	412269	697.472603735732
S10	412708	577.533288061606
S10	412712	543.920309252787
S10	412716	685.665575612117
S10	412720	706.766727407934
S10	412724	637.503769261858
S10	412728	712.065892889355
S10	499897	981.461640413805
S10	499901	846.574200471725
S10	499905	900.47136424217
S10	499909	1019.51594714596
S10	499913	1044.32894612725
S10	499917	979.456713096304
S10	500186	852.894230873949
S10	500190	773.307635073391
S10	500194	920.814323425617
S10	500198	997.369247123243
S10	500202	1019.94144498497
S10	500206	1042.74951664876
S10	587569	1380.48222691146
S10	587573	1190.7552872064
S10	587577	1266.5647468962
S10	587581	1434.00779728326
S10	587585	1468.90870698727
S10	587589	1377.66218136502
S10	587858	1199.6447733407
S10	587862	1087.70165047271
S10	587866	1295.17828861719
S10	587870	1402.85719036477
S10	587874	1434.60628445805
S10	587878	1466.68714861562
S11	324505	6.3575337079572
S11	324509	4.73698590004654
S11	324513	4.91150643320615
S11	324517	6.39493096506283
S11	324521	6.22041043190322
S11	324525	6.40739671743137
S11	325036	4.87410917610052
S11	325040	4.18849279583062
S11	325044	5.871369365584
S11	325048	6.41986246979992
S11	325052	6.13315016532342
S11	325056	7.64150620191718
S11	412249	8.03344992545748
S11	412253	6.04513098183128
