PROJECT	build_year	proj_overnight_cost	proj_fixed_om
Cenizas	2009	1241131.5	0
Los_Pinos	2008	1241131.5	0
DIESEL_MANTOS_BLANCOS	1995	1241131.5	0
DIESEL_TAMAYA	1992	1241131.5	0
DIESEL_ZOFRI	2007	1241131.5	0
ESTANDARTES	2009	1241131.5	0
TERMOELeCTRICA_ANDINA	2010	2826846.414	0
TERMOELeCTRICA_ANGAMOS	2011	2826846.414	0
TERMOELeCTRICA_HORNITOS	2008	2826846.414	0
TERMOELeCTRICA_MEJILLONES	1983	2826846.414	0
TERMOELeCTRICA_NORGENER	1995	2826846.414	0
TERMOELeCTRICA_TARAPACa	1999	2826846.414	0
TERMOELeCTRICA_TARAPACa_DIE	1999	1241131.5	0
TERMOELeCTRICA_TOCOPILLA	1972	2826846.414	0
TERMOELeCTRICA_TOCOPILLA_DIE	1972	1241131.5	0
Ventanas_2	1964	2826846.414	0
Nueva_Ventanas	2009	2826846.414	0
Bocamina	1970	2826846.414	0
Guacolda_1	1995	2826846.414	0
Guacolda_2	1996	2826846.414	0
Guacolda_3	2009	2826846.414	0
Guacolda_4	2010	2826846.414	0
Petropower	1998	2826846.414	0
D._Almagro	1981	1241131.5	0
Huasco_TG	1977	1241131.5	0
Arauco	1996	2487604.562415	0
Constitucion_A.	1995	2487604.562415	0
Renca	1962	1241131.5	0
San_Fco._Mostazal	2002	1241131.5	0
L.Verde_TG	2004	1241131.5	0
Nehuenco_TG_9B	2002	1241131.5	0
Antilhue_TG	2002	1241131.5	0
TG_Coronel	2005	1241131.5	0
Los_Vientos_TG	2007	1241131.5	0
Horcones_TG	2004	1241131.5	0
Valdivia	2004	2487604.562415	0
Degan	2007	1241131.5	0
Olivos	2008	1241131.5	0
Ancud	2006	1241131.5	0
Quellon	2006	1241131.5	0
Canete	2007	1241131.5	0
Los_Sauces	2011	1241131.5	0
Curacautin	2007	1241131.5	0
Traigen	2007	1241131.5	0
Collipulli	2007	1241131.5	0
Chuyaca	2008	1241131.5	0
Quellon_II	2008	1241131.5	0
Constitucion_1	2007	1241131.5	0
Maule	2007	1241131.5	0
Monte_Patria	2007	1241131.5	0
Las_Vegas	2007	1241131.5	0
Concon	2007	1241131.5	0
Curauma	2007	1241131.5	0
Casablanca	2007	1241131.5	0
El_Salvador	0	1241131.5	0
Colmito	2008	1241131.5	0
Colihues	2010	1241131.5	0
Punta_Colorada_Diesel	2009	1241131.5	0
Esperanza_1	2007	1241131.5	0
Esperanza_2	2007	1241131.5	0
Esperanza_TG	2007	1241131.5	0
Licanten	2004	2487604.562415	0
Cholguan	2003	2487604.562415	0
Placilla	2008	1241131.5	0
Totoral	2008	1241131.5	0
Quintay	2008	1241131.5	0
Linares_Norte	2011	1241131.5	0
San_Gregorio	2011	1241131.5	0
Los_Espinos	2009	1241131.5	0
Termopacifico	2009	1241131.5	0
Emelda_U1	2010	1241131.5	0
Emelda_U2	2010	1241131.5	0
Ventanas_1	1964	2826846.414	0
Nueva_Aldea	2005	3316806.08322	0
Nueva_Aldea_3	2008	2487604.562415	0
Laja	1995	3316806.08322	0
Constitucion	1995	3316806.08322	0
Escuadron_(ex_FPC)	2008	3316806.08322	0
Lautaro-Comasa	2011	3316806.08322	0
Energia_Pacifico	2011	3316806.08322	0
Santa_Maria	2012	2826846.414	0
Cabrero	2010	2487604.562415	0
Calle_Calle	2011	1241131.5	0
Cementos_Biobio	2010	1241131.5	0
DIESEL_ARICA	1988	1241131.5	0
DIESEL_ENAEX	1994	1241131.5	0
DIESEL_INACAL	2009	1241131.5	0
DIESEL_IQUIQUE	1975	1241131.5	0
Punitaqui	2007	1241131.5	0
Chiloe	2008	1241131.5	0
Santa_Lidia	2009	1241131.5	0
Tierra_Amarilla	2009	1241131.5	0
Trapen	2009	1241131.5	0
Teno	2009	1241131.5	0
El_Penon	2009	1241131.5	0
San_Lorenzo_de_D._de_Almagro_U1	2009	1241131.5	0
Newen	2009	1241131.5	0
Monte_Redondo	2009	2008009.5	0
Quintero	2009	1241131.5	0
Totoral_(eolica)	2009	2008009.5	0
TERMOELeCTRICA_MEJILLONES_GNL	1983	1241131.5	0
TERMOELeCTRICA_TOCOPILLA_GNL	1972	1241131.5	0
Canela_1	2007	2008009.5	0
Canela_2	2009	2008009.5	0
SALTA	1999	1087755.9	0
Nueva_Renca	1997	1241131.5	0
Nehuenco	1999	1087755.9	0
Nehuenco_II	2003	1087755.9	0
San_Isidro	1998	1087755.9	0
San_Isidro_II	2007	1087755.9	0
Taltal_2	2000	1241131.5	0
Taltal_1	2000	1241131.5	0
Tapihue	2009	1241131.5	0
Candelaria_1	2005	1241131.5	0
Campanario	2007	1241131.5	0
Loma_Los_Colorados	2009	2579045	0
Loma_Los_Colorados_II	2009	2579045	0
ATACAMA	1999	1087755.9	0
Lebu_(Cristoro)	2009	2008009.5	0
