PROJECT	proj_gen_tech	proj_load_zone	proj_connect_cost_per_mw	proj_variable_om	proj_full_load_heat_rate	proj_forced_outage_rate	proj_scheduled_outage_rate	proj_dbid	proj_capacity_limit_mw
  45	Bio_Gas	S4	6028.70472585557	0.01085	  13.6	.	.	  45	   14.0
Loma_Los_Colorados	Bio_Gas_Internal_Combustion_Engine_EP	S9	99048.565	0	  15.4	.	.	SIC145	   2.0
Loma_Los_Colorados_II	Bio_Gas_Internal_Combustion_Engine_EP	S9	99048.565	16.95	  15.4	.	.	SIC146	   9.8
Arauco	Bio_Liquid_Steam_Turbine_Cogen_EP	S10	99048.565	0	  77.6	.	.	SIC87	  30.1
Cholguan	Bio_Liquid_Steam_Turbine_Cogen_EP	S1	99048.565	0	 104.5	.	.	SIC157	  13.0
Constitucion_A.	Bio_Liquid_Steam_Turbine_Cogen_EP	S14	99048.565	0	  87.3	.	.	SIC88	   8.0
Licanten	Bio_Liquid_Steam_Turbine_Cogen_EP	S8	99048.565	0	 123.6	.	.	SIC156	   4.0
Nueva_Aldea_3	Bio_Liquid_Steam_Turbine_Cogen_EP	S1	99048.565	0	  50.5	.	.	SIC159	  49.0
Valdivia	Bio_Liquid_Steam_Turbine_Cogen_EP	S1	99048.565	0	  58.9	.	.	SIC107	  61.0
  46	Biomass_Steam_Turbine	S1	38532.2293867389	4.480182	  10.5	.	.	  46	   22.0
  47	Biomass_Steam_Turbine	S1	65069.6574247447	4.480182	  10.5	.	.	  47	    7.0
  48	Biomass_Steam_Turbine	S10	14123.4060830345	4.480182	  10.5	.	.	  48	   31.0
  49	Biomass_Steam_Turbine	S10	6538.20696747701	4.480182	  10.5	.	.	  49	    3.0
  50	Biomass_Steam_Turbine	S10	822.325340369324	4.480182	  10.5	.	.	  50	   20.0
  51	Biomass_Steam_Turbine	S14	1559.06587504859	4.480182	  10.5	.	.	  51	   41.0
  52	Biomass_Steam_Turbine	S18	31308.6533593031	4.480182	  10.5	.	.	  52	   40.0
  53	Biomass_Steam_Turbine	S18	71811.6242569891	4.480182	  10.5	.	.	  53	   10.0
  54	Biomass_Steam_Turbine	S6	7858.46795041755	4.480182	  10.5	.	.	  54	   35.0
  55	Biomass_Steam_Turbine	S8	15961.5131455622	4.480182	  10.5	.	.	  55	    7.0
Cabrero	Bio_Solid_Steam_Turbine_Cogen_EP	S1	99048.565	2.76	  51.8	.	.	SIC166	  11.1
Constitucion	Bio_Solid_Steam_Turbine_EP	S14	99048.565	0	  61.8	.	.	SIC161	  11.1
Energia_Pacifico	Bio_Solid_Steam_Turbine_EP	S4	99048.565	2.1	  61.8	.	.	SIC164	  15.6
Escuadron_(ex_FPC)	Bio_Solid_Steam_Turbine_EP	S10	99048.565	2.4	  61.8	.	.	SIC162	  15.5
Laja	Bio_Solid_Steam_Turbine_EP	S1	99048.565	0	  61.8	.	.	SIC160	  12.7
Lautaro-Comasa	Bio_Solid_Steam_Turbine_EP	S1	99048.565	8.5	  50.5	.	.	SIC163	  25.0
Nueva_Aldea	Bio_Solid_Steam_Turbine_EP	S1	99048.565	0	  36.8	.	.	SIC158	  14.0
  56	CCGT	S4	16427.1912533184	2.6739825	   6.5	.	.	  56	.
  57	CCGT	S8	19635.9691856842	2.6739825	   6.5	.	.	  57	.
  58	CCGT	S9	265.081052755391	2.6739825	   6.5	.	.	  58	.
ATACAMA	CCGT_EP	S22	99048.565	4.39	   7.5	.	.	SING1	 780.6
Nehuenco	CCGT_EP	S13	99048.565	0	   6.8	.	.	SIC94	 368.4
Nehuenco_II	CCGT_EP	S13	99048.565	0	   6.2	.	.	SIC95	 398.3
SALTA	CCGT_EP	S21	99048.565	0.35	   5.5	.	.	SING14	 642.8
San_Isidro	CCGT_EP	S13	99048.565	3.345	   9.3	.	.	SIC96	 379.0
San_Isidro_II	CCGT_EP	S13	99048.565	3.71	   6.3	.	.	SIC97	 353.0
  59	Coal_Steam_Turbine	S1	27813.2704006266	4.224366125	   8.8	.	.	  59	.
  60	Coal_Steam_Turbine	S10	14852.6129170199	4.224366125	   8.8	.	.	  60	.
  61	Coal_Steam_Turbine	S10	9375.59545176634	4.224366125	   8.8	.	.	  61	.
  62	Coal_Steam_Turbine	S10	11470.1517697977	4.224366125	   8.8	.	.	  62	.
  63	Coal_Steam_Turbine	S13	19427.8084923788	4.224366125	   8.8	.	.	  63	.
  64	Coal_Steam_Turbine	S13	16936.3191124298	4.224366125	   8.8	.	.	  64	.
  65	Coal_Steam_Turbine	S13	19877.5934444675	4.224366125	   8.8	.	.	  65	.
  66	Coal_Steam_Turbine	S14	28262.7058446067	4.224366125	   8.8	.	.	  66	.
  67	Coal_Steam_Turbine	S15	29921.4351517655	4.224366125	   8.8	.	.	  67	.
