TRANSMISSION_LINE	trans_lz1	trans_lz2	trans_length_km	trans_efficiency	existing_trans_cap
135	1	S18	755.445554953289	0.999	0
133	1	S4	2070.13247569471	0.999	0
32	S1	S10	36.0465	0.997760174331902	963.5
33	S1	S11	189.67	0.988214452596834	2600
36	S1	S18	34.43025	0.997860603450847	441.2
51	S1	S8	22.6645	0.998591693261354	571.1
60	S11	S3	309.59	0.980762969259524	1400
61	S11	S4	240.3	0.985068450250537	1400
52	S11	S8	37.468	0.997671846416925	827.9
37	S12	S2	23.16175	0.99856079557882	178.7
43	S13	S3	49.58	0.996919241628887	2000
45	S13	S5	61.919	0.996152531714786	35.1
56	S13	S9	17.79	0.99889458064901	637
53	S14	S8	76.54	0.995244024894615	27.9
34	S15	S16	110.9584	0.993105364670325	826.8
49	S15	S7	70.347	0.995628840073968	594.6
35	S16	S17	75.3	0.995321074922453	220
127	S17	S22	554.444171339018	1	0
38	S18	S2	32.73	0.997966252087807	301.7
39	S19	S20	146	0.990927980593335	340
40	S20	S21	67.85	0.99578399646067	787
41	S20	S22	150.6	0.990642149844906	2013.7040128
42	S21	S22	26	0.998384434900183	883
44	S3	S4	24	0.99850870913863	3476
46	S3	S5	76.58	0.995241539409846	3000
47	S3	S6	0	1	620
57	S3	S9	3.2	0.999801161218484	280
48	S4	S6	2.9899	0.999814216227233	1971.2
54	S4	S8	0	1	256
58	S4	S9	0	1	345
50	S5	S7	74.8431666666667	0.995349461229752	550
62	S5	S9	30.1	0.998129672711366	1200
55	S6	S8	22.1475	0.998623818151992	42.2
59	S6	S9	0	1	354.8
