generation_technology	investment_period	g_overnight_cost	g_fixed_o_m
Battery_Storage	2015	4253859.18306971	28004.49015
Battery_Storage	2025	4023321.36791347	28004.49015
Battery_Storage	2035	3805277.5451368	28004.49015
Battery_Storage	2045	3639080.61514254	28004.49015
Bio_Gas	2015	2184709.7283822	123961.25
Bio_Gas	2025	1889734.06017953	123961.25
Bio_Gas	2035	1634585.48831886	123961.25
Bio_Gas	2045	1454687.15421016	123961.25
Bio_Gas_CCS	2025	3154592.69299291	169626.56725
Bio_Gas_CCS	2035	2593751.03203211	169626.56725
Bio_Gas_CCS	2045	2215504.755072	169626.56725
Bio_Gas_Internal_Combustion_Engine_Cogen	2015	1614937.43128969	123961.25
Bio_Gas_Internal_Combustion_Engine_Cogen	2025	1396891.41734488	123961.25
Bio_Gas_Internal_Combustion_Engine_Cogen	2035	1208285.59301736	123961.25
Bio_Gas_Internal_Combustion_Engine_Cogen	2045	1075304.74443847	123961.25
Bio_Gas_Internal_Combustion_Engine_Cogen_CCS	2025	2365944.51974468	127219.9254375
Bio_Gas_Internal_Combustion_Engine_Cogen_CCS	2035	1945313.27402408	127219.9254375
Bio_Gas_Internal_Combustion_Engine_Cogen_CCS	2045	1661628.566304	127219.9254375
Bio_Gas_Internal_Combustion_Engine_Cogen_Existing	2015	1934283.75	123961.25
Bio_Gas_Internal_Combustion_Engine_Cogen_Existing	2025	1934283.75	123961.25
Bio_Gas_Internal_Combustion_Engine_Cogen_Existing	2035	1934283.75	123961.25
Bio_Gas_Internal_Combustion_Engine_Cogen_Existing	2045	1934283.75	123961.25
Bio_Gas_Internal_Combustion_Engine_EP	2015	2579045	123961.25
Bio_Gas_Internal_Combustion_Engine_EP	2025	2579045	123961.25
Bio_Gas_Internal_Combustion_Engine_EP	2035	2579045	123961.25
Bio_Gas_Internal_Combustion_Engine_EP	2045	2579045	123961.25
Bio_Gas_Steam_Turbine_Existing	2015	2230692.8385	137570.5135
Bio_Gas_Steam_Turbine_Existing	2025	2230692.8385	137570.5135
Bio_Gas_Steam_Turbine_Existing	2035	2230692.8385	137570.5135
Bio_Gas_Steam_Turbine_Existing	2045	2230692.8385	137570.5135
Bio_Liquid_Steam_Turbine_Cogen	2015	2322178.9175595	75300.35625
Bio_Liquid_Steam_Turbine_Cogen	2025	2197574.22414862	75300.35625
Bio_Liquid_Steam_Turbine_Cogen	2035	2079655.63468201	75300.35625
Bio_Liquid_Steam_Turbine_Cogen	2045	1989731.61830387	75300.35625
Bio_Liquid_Steam_Turbine_Cogen_CCS	2025	2361240.33915999	100303.6338675
Bio_Liquid_Steam_Turbine_Cogen_CCS	2035	2056831.3384857	100303.6338675
Bio_Liquid_Steam_Turbine_Cogen_CCS	2045	1840877.54502791	100303.6338675
Bio_Liquid_Steam_Turbine_Cogen_EP	2015	2252390.445	75300.35625
