LOAD_ZONE	PERIOD	peak_demand_mw
1	2015	0
1	2025	0
1	2035	0
1	2045	0
S1	2015	838.419076124041
S1	2025	1200.3639390669
S1	2035	1743.81846323214
S1	2045	2524.71171214221
S10	2015	712.837948918755
S10	2025	1011.93970633352
S10	2035	1421.06103280381
S10	2045	1998.80404731356
S11	2015	9.5363005619358
S11	2025	12.2666450957584
S11	2035	16.6071077507823
S11	2045	22.222615868543
S12	2015	63.931769731191
S12	2025	87.3249525546739
S12	2035	121.774016087738
S12	2045	168.898708457698
S13	2015	355.725298214362
S13	2025	561.232639108041
S13	2035	933.212600564408
S13	2045	1563.20963782901
S14	2015	25.3743455116506
S14	2025	36.0987436151198
S14	2035	51.9677580925381
S14	2045	74.6049530147701
S15	2015	139.280902143728
S15	2025	247.860426905272
S15	2035	416.661165695812
S15	2045	697.373902909806
S16	2015	579.914516879573
S16	2025	875.453306305868
S16	2035	1428.18902565854
S16	2045	2316.50220087561
S17	2015	190.545748584918
S17	2025	265.490328127986
S17	2035	419.890754929437
S17	2045	660.738620594532
S18	2015	417.757178937746
S18	2025	570.617940417791
S18	2035	795.723082537791
S18	2045	1103.65502052982
S19	2015	393.711897553541
S19	2025	644.190575148779
S19	2035	1235.86853245998
S19	2045	2358.12173178975
S2	2015	55.131933016053
S2	2025	75.3052689094005
S2	2035	105.01259728588
S2	2045	145.65093997072
S20	2015	1413.04406035949
S20	2025	2417.67953756552
S20	2035	3861.88101767607
S20	2045	6300.49621372407
S21	2015	659.782774326977
S21	2025	983.796745618299
S21	2035	1342.77954773266
S21	2045	1864.93609813046
S22	2015	960.95339089991
S22	2025	1509.48347307334
S22	2035	2503.6111611027
S22	2045	4150.98901156927
S3	2015	691.232810421695
S3	2025	987.105760206634
S3	2035	1392.27454982113
S3	2045	1970.93834177214
S4	2015	2403.29973828578
S4	2025	3371.42196987223
S4	2035	4771.8736917834
S4	2045	6742.04934307974
S5	2015	52.8891131070096
S5	2025	76.421915710539
S5	2035	111.417730165645
S5	2045	162.020485682437
S6	2015	1928.59656945798
S6	2025	2767.07689779919
S6	2035	3968.36937356192
S6	2045	5693.09637288831
S7	2015	408.485072722248
S7	2025	610.818482438464
S7	2035	982.528031446529
S7	2045	1571.09699503017
S8	2015	563.343180382146
S8	2025	801.442615324368
S8	2035	1153.75368073176
S8	2045	1656.32953044904
S9	2015	829.168727781657
S9	2025	1191.26170185381
S9	2035	1721.47977717357
S9	2045	2484.60793415401
