PROJECT	proj_gen_tech	proj_load_zone	proj_connect_cost_per_mw	proj_variable_om	proj_full_load_heat_rate	proj_forced_outage_rate	proj_scheduled_outage_rate	proj_dbid	proj_capacity_limit_mw
  45	Bio_Gas	S4	56874.5728854299	0.01085	  13.6	.	.	  45	   14.0
Loma_Los_Colorados	Bio_Gas_Internal_Combustion_Engine_EP	S9	99048.565	0	  15.4	.	.	SIC145	   2.0
Loma_Los_Colorados_II	Bio_Gas_Internal_Combustion_Engine_EP	S9	99048.565	16.95	  15.4	.	.	SIC146	   9.8
Arauco	Bio_Liquid_Steam_Turbine_Cogen_EP	S10	99048.565	0	  77.6	.	.	SIC87	  30.1
Cholguan	Bio_Liquid_Steam_Turbine_Cogen_EP	S1	99048.565	0	 104.5	.	.	SIC157	  13.0
Constitucion_A.	Bio_Liquid_Steam_Turbine_Cogen_EP	S14	99048.565	0	  87.3	.	.	SIC88	   8.0
Licanten	Bio_Liquid_Steam_Turbine_Cogen_EP	S8	99048.565	0	 123.6	.	.	SIC156	   4.0
Nueva_Aldea_3	Bio_Liquid_Steam_Turbine_Cogen_EP	S1	99048.565	0	  50.5	.	.	SIC159	  49.0
Valdivia	Bio_Liquid_Steam_Turbine_Cogen_EP	S1	99048.565	0	  58.9	.	.	SIC107	  61.0
  46	Biomass_Steam_Turbine	S1	363511.597988103	4.480182	  10.5	.	.	  46	   22.0
  47	Biomass_Steam_Turbine	S1	613864.69268627	4.480182	  10.5	.	.	  47	    7.0
  48	Biomass_Steam_Turbine	S10	133239.680028627	4.480182	  10.5	.	.	  48	   31.0
  49	Biomass_Steam_Turbine	S10	61681.1978063869	4.480182	  10.5	.	.	  49	    3.0
  50	Biomass_Steam_Turbine	S10	7757.78622989928	4.480182	  10.5	.	.	  50	   20.0
  51	Biomass_Steam_Turbine	S14	14708.1686325339	4.480182	  10.5	.	.	  51	   41.0
  52	Biomass_Steam_Turbine	S18	295364.654333048	4.480182	  10.5	.	.	  52	   40.0
  53	Biomass_Steam_Turbine	S18	677468.153367822	4.480182	  10.5	.	.	  53	   10.0
  54	Biomass_Steam_Turbine	S6	74136.4900982788	4.480182	  10.5	.	.	  54	   35.0
  55	Biomass_Steam_Turbine	S8	150580.312693983	4.480182	  10.5	.	.	  55	    7.0
Cabrero	Bio_Solid_Steam_Turbine_Cogen_EP	S1	99048.565	2.76	  51.8	.	.	SIC166	  11.1
Constitucion	Bio_Solid_Steam_Turbine_EP	S14	99048.565	0	  61.8	.	.	SIC161	  11.1
Energia_Pacifico	Bio_Solid_Steam_Turbine_EP	S4	99048.565	2.1	  61.8	.	.	SIC164	  15.6
Escuadron_(ex_FPC)	Bio_Solid_Steam_Turbine_EP	S10	99048.565	2.4	  61.8	.	.	SIC162	  15.5
Laja	Bio_Solid_Steam_Turbine_EP	S1	99048.565	0	  61.8	.	.	SIC160	  12.7
Lautaro-Comasa	Bio_Solid_Steam_Turbine_EP	S1	99048.565	8.5	  50.5	.	.	SIC163	  25.0
Nueva_Aldea	Bio_Solid_Steam_Turbine_EP	S1	99048.565	0	  36.8	.	.	SIC158	  14.0
  56	CCGT	S4	154973.502389796	2.6739825	   6.5	.	.	  56	.
  57	CCGT	S8	185244.992317776	2.6739825	   6.5	.	.	  57	.
  58	CCGT	S9	2500.76464863576	2.6739825	   6.5	.	.	  58	.
ATACAMA	CCGT_EP	S22	99048.565	4.39	   7.5	.	.	SING1	 780.6
Nehuenco	CCGT_EP	S13	99048.565	0	   6.8	.	.	SIC94	 368.4
Nehuenco_II	CCGT_EP	S13	99048.565	0	   6.2	.	.	SIC95	 398.3
SALTA	CCGT_EP	S21	99048.565	0.35	   5.5	.	.	SING14	 642.8
San_Isidro	CCGT_EP	S13	99048.565	3.345	   9.3	.	.	SIC96	 379.0
San_Isidro_II	CCGT_EP	S13	99048.565	3.71	   6.3	.	.	SIC97	 353.0
  59	Coal_Steam_Turbine	S1	262389.343402138	4.224366125	   8.8	.	.	  59	.
  60	Coal_Steam_Turbine	S10	140118.989783206	4.224366125	   8.8	.	.	  60	.
  61	Coal_Steam_Turbine	S10	88449.0136959089	4.224366125	   8.8	.	.	  61	.
  62	Coal_Steam_Turbine	S10	108208.978960356	4.224366125	   8.8	.	.	  62	.
  63	Coal_Steam_Turbine	S13	183281.212192253	4.224366125	   8.8	.	.	  63	.
  64	Coal_Steam_Turbine	S13	159776.595400281	4.224366125	   8.8	.	.	  64	.
  65	Coal_Steam_Turbine	S13	187524.466457241	4.224366125	   8.8	.	.	  65	.
  66	Coal_Steam_Turbine	S14	266629.300420818	4.224366125	   8.8	.	.	  66	.
  67	Coal_Steam_Turbine	S15	282277.690110995	4.224366125	   8.8	.	.	  67	.
  68	Coal_Steam_Turbine	S15	266384.753593075	4.224366125	   8.8	.	.	  68	.
  69	Coal_Steam_Turbine	S16	542335.40871302	4.224366125	   8.8	.	.	  69	.
  70	Coal_Steam_Turbine	S17	1106137.36994529	4.224366125	   8.8	.	.	  70	.
  71	Coal_Steam_Turbine	S19	213938.256546044	4.224366125	   8.8	.	.	  71	.
  72	Coal_Steam_Turbine	S19	218808.414006867	4.224366125	   8.8	.	.	  72	.
  73	Coal_Steam_Turbine	S22	9508.2204225113	4.224366125	   8.8	.	.	  73	.
  74	Coal_Steam_Turbine	S22	72214.9458202253	4.224366125	   8.8	.	.	  74	.
  75	Coal_Steam_Turbine	S22	40135.5410164999	4.224366125	   8.8	.	.	  75	.
  76	Coal_Steam_Turbine	S7	234715.783672058	4.224366125	   8.8	.	.	  76	.
  77	Coal_Steam_Turbine	S7	308430.779119452	4.224366125	   8.8	.	.	  77	.
  78	Coal_Steam_Turbine	S7	267715.682028975	4.224366125	   8.8	.	.	  78	.
Bocamina	Coal_Steam_Turbine_EP	S10	99048.565	1	   8.6	.	.	SIC79	 128.0
Guacolda_1	Coal_Steam_Turbine_EP	S15	99048.565	1	   8.2	.	.	SIC80	 152.0
Guacolda_2	Coal_Steam_Turbine_EP	S15	99048.565	1	   8.2	.	.	SIC81	 152.0
Guacolda_3	Coal_Steam_Turbine_EP	S15	99048.565	2.1	   8.0	.	.	SIC82	 152.0
Guacolda_4	Coal_Steam_Turbine_EP	S15	99048.565	2	   8.0	.	.	SIC83	 152.0
Nueva_Ventanas	Coal_Steam_Turbine_EP	S5	99048.565	5.55	   8.6	.	.	SIC78	 272.0
Petropower	Coal_Steam_Turbine_EP	S10	99048.565	3.9	   9.4	.	.	SIC84	  75.0
Santa_Maria	Coal_Steam_Turbine_EP	S1	99048.565	3	   8.0	.	.	SIC165	 370.0
TERMOELeCTRICA_ANDINA	Coal_Steam_Turbine_EP	S22	99048.565	5.91	   9.0	.	.	SING15	 168.8
TERMOELeCTRICA_ANGAMOS	Coal_Steam_Turbine_EP	S21	99048.565	5.63	   9.5	.	.	SING16	 545.0
TERMOELeCTRICA_HORNITOS	Coal_Steam_Turbine_EP	S22	99048.565	5.74	   8.8	.	.	SING17	 170.1
TERMOELeCTRICA_MEJILLONES	Coal_Steam_Turbine_EP	S22	99048.565	3.95	   8.3	.	.	SING18	 340.9
TERMOELeCTRICA_NORGENER	Coal_Steam_Turbine_EP	S20	99048.565	1.645	   9.1	.	.	SING20	 277.3
TERMOELeCTRICA_TARAPACa	Coal_Steam_Turbine_EP	S19	99048.565	1.4	  10.1	.	.	SING21	 158.0
TERMOELeCTRICA_TOCOPILLA	Coal_Steam_Turbine_EP	S20	99048.565	2.485	  10.7	.	.	SING23	 439.6
Ventanas_1	Coal_Steam_Turbine_EP	S9	99048.565	2.18	   9.4	.	.	SIC76	 120.0
Ventanas_2	Coal_Steam_Turbine_EP	S9	99048.565	1.38	   9.0	.	.	SIC77	 220.0
  79	DistillateFuelOil_Combustion_Turbine	1	919344.544690723	4.197648	  11.9	.	.	  79	    4.8
  80	DistillateFuelOil_Combustion_Turbine	S1	71843.6910297322	4.197648	  11.9	.	.	  80	  100.0
  81	DistillateFuelOil_Combustion_Turbine	S11	117725.048205613	4.197648	  11.9	.	.	  81	   18.0
  82	DistillateFuelOil_Combustion_Turbine	S17	10490.7492256811	4.197648	  11.9	.	.	  82	   30.0
  83	DistillateFuelOil_Combustion_Turbine	S18	417781.751026295	4.197648	  11.9	.	.	  83	    5.0
  84	DistillateFuelOil_Combustion_Turbine	S5	689.008178078036	4.197648	  11.9	.	.	  84	   19.0
Antilhue_TG	DistillateFuelOil_Combustion_Turbine_EP	S18	99048.565	2.9	   9.9	.	.	SIC101	 101.3
Colmito	DistillateFuelOil_Combustion_Turbine_EP	S9	99048.565	20	  12.8	.	.	SIC150	  58.0
D._Almagro	DistillateFuelOil_Combustion_Turbine_EP	S17	99048.565	6.63	  14.5	.	.	SIC85	  23.8
El_Salvador	DistillateFuelOil_Combustion_Turbine_EP	S17	99048.565	41.96	  14.5	.	.	SIC149	  23.8
Emelda_U1	DistillateFuelOil_Combustion_Turbine_EP	S17	99048.565	14	  12.4	.	.	SIC147	  34.6
Emelda_U2	DistillateFuelOil_Combustion_Turbine_EP	S17	99048.565	14	  15.5	.	.	SIC148	  34.6
Esperanza_TG	DistillateFuelOil_Combustion_Turbine_EP	S4	99048.565	23.67	  10.3	.	.	SIC155	   7.3
Horcones_TG	DistillateFuelOil_Combustion_Turbine_EP	S10	99048.565	3	  15.1	.	.	SIC106	  24.3
Los_Pinos	DistillateFuelOil_Combustion_Turbine_EP	S1	99048.565	4.5	   8.2	.	.	SIC133	 104.2
Los_Vientos_TG	DistillateFuelOil_Combustion_Turbine_EP	S9	99048.565	2.95	  11.5	.	.	SIC105	 132.0
L.Verde_TG	DistillateFuelOil_Combustion_Turbine_EP	S9	99048.565	1	  11.4	.	.	SIC91	  18.8
Nehuenco_TG_9B	DistillateFuelOil_Combustion_Turbine_EP	S13	99048.565	12.9	  12.1	.	.	SIC98	 108.0
Newen	DistillateFuelOil_Combustion_Turbine_EP	S10	99048.565	5	   9.6	.	.	SIC131	  15.0
Punta_Colorada_Diesel	DistillateFuelOil_Combustion_Turbine_EP	S15	99048.565	18.1	   9.4	.	.	SIC152	  17.0
Renca	DistillateFuelOil_Combustion_Turbine_EP	S6	99048.565	3.6	  15.7	.	.	SIC89	 100.0
San_Fco._Mostazal	DistillateFuelOil_Combustion_Turbine_EP	S4	99048.565	0	  15.1	.	.	SIC90	  24.0
San_Lorenzo_de_D._de_Almagro_U1	DistillateFuelOil_Combustion_Turbine_EP	S17	99048.565	24.8	  15.5	.	.	SIC129	  56.0
Santa_Lidia	DistillateFuelOil_Combustion_Turbine_EP	S1	99048.565	3.53	  11.4	.	.	SIC124	 139.0
TERMOELeCTRICA_TARAPACa_DIE	DistillateFuelOil_Combustion_Turbine_EP	S19	99048.565	0.41	  14.2	.	.	SING22	  23.8
TERMOELeCTRICA_TOCOPILLA_DIE	DistillateFuelOil_Combustion_Turbine_EP	S20	99048.565	1.09	  12.6	.	.	SING24	 124.6
TG_Coronel	DistillateFuelOil_Combustion_Turbine_EP	S10	99048.565	9.8	   9.7	.	.	SIC102	  46.7
Tierra_Amarilla	DistillateFuelOil_Combustion_Turbine_EP	S16	99048.565	21.68	  10.3	.	.	SIC125	 165.0
  85	DistillateFuelOil_Internal_Combustion_Engine	S15	18924.8003664671	4.197648	  10.1	.	.	  85	   67.0
  86	DistillateFuelOil_Internal_Combustion_Engine	S19	5809.36795792022	4.197648	  10.1	.	.	  86	   38.0
  87	DistillateFuelOil_Internal_Combustion_Engine	S22	120573.438597066	4.197648	  10.1	.	.	  87	   31.0
Ancud	DistillateFuelOil_Internal_Combustion_Engine_EP	S2	99048.565	0	  10.1	.	.	SIC110	   3.3
Calle_Calle	DistillateFuelOil_Internal_Combustion_Engine_EP	S18	99048.565	15	   8.0	.	.	SIC167	  12.8
Canete	DistillateFuelOil_Internal_Combustion_Engine_EP	S10	99048.565	0	  10.1	.	.	SIC112	   3.0
Casablanca	DistillateFuelOil_Internal_Combustion_Engine_EP	S9	99048.565	0	  10.1	.	.	SIC137	   1.2
Cementos_Biobio	DistillateFuelOil_Internal_Combustion_Engine_EP	S8	99048.565	13.82	   9.4	.	.	SIC168	   6.8
Cenizas	DistillateFuelOil_Internal_Combustion_Engine_EP	S16	99048.565	13.81	   9.9	.	.	SIC130	  17.1
Chiloe	DistillateFuelOil_Internal_Combustion_Engine_EP	S12	99048.565	31.65	  12.1	.	.	SIC123	   9.0
Chuyaca	DistillateFuelOil_Internal_Combustion_Engine_EP	S18	99048.565	13.6	   9.6	.	.	SIC117	  15.0
Colihues	DistillateFuelOil_Internal_Combustion_Engine_EP	S4	99048.565	15.3	   9.2	.	.	SIC151	  22.0
Collipulli	DistillateFuelOil_Internal_Combustion_Engine_EP	S1	99048.565	0	  10.1	.	.	SIC116	   3.0
Concon	DistillateFuelOil_Internal_Combustion_Engine_EP	S9	99048.565	27.16	  10.3	.	.	SIC135	   2.2
Constitucion_1	DistillateFuelOil_Internal_Combustion_Engine_EP	S14	99048.565	31.65	  12.1	.	.	SIC119	   9.0
Curacautin	DistillateFuelOil_Internal_Combustion_Engine_EP	S1	99048.565	0	  10.1	.	.	SIC114	   3.0
Curauma	DistillateFuelOil_Internal_Combustion_Engine_EP	S9	99048.565	0	  10.1	.	.	SIC136	   2.0
Degan	DistillateFuelOil_Internal_Combustion_Engine_EP	S12	99048.565	15	   9.4	.	.	SIC108	  39.6
DIESEL_ARICA	DistillateFuelOil_Internal_Combustion_Engine_EP	S19	99048.565	9.2	  10.8	.	.	SING6	  14.3
DIESEL_ENAEX	DistillateFuelOil_Internal_Combustion_Engine_EP	S22	99048.565	14.5	  13.4	.	.	SING7	   2.7
DIESEL_INACAL	DistillateFuelOil_Internal_Combustion_Engine_EP	S22	99048.565	1.983182611	   9.9	.	.	SING8	   6.8
DIESEL_IQUIQUE	DistillateFuelOil_Internal_Combustion_Engine_EP	S19	99048.565	6.82	  10.8	.	.	SING9	  43.0
DIESEL_MANTOS_BLANCOS	DistillateFuelOil_Internal_Combustion_Engine_EP	S22	99048.565	9	  10.2	.	.	SING10	  28.6
DIESEL_TAMAYA	DistillateFuelOil_Internal_Combustion_Engine_EP	S20	99048.565	6	   9.7	.	.	SING11	 103.7
DIESEL_ZOFRI	DistillateFuelOil_Internal_Combustion_Engine_EP	S19	99048.565	3.5	  12.2	.	.	SING12	   6.1
El_Penon	DistillateFuelOil_Internal_Combustion_Engine_EP	S7	99048.565	28.3	   9.4	.	.	SIC128	  81.0
Esperanza_1	DistillateFuelOil_Internal_Combustion_Engine_EP	S4	99048.565	7.05	  15.5	.	.	SIC153	   7.3
Esperanza_2	DistillateFuelOil_Internal_Combustion_Engine_EP	S4	99048.565	26.15	  10.7	.	.	SIC154	   7.3
ESTANDARTES	DistillateFuelOil_Internal_Combustion_Engine_EP	S19	99048.565	23.03	   9.6	.	.	SING13	   4.8
Huasco_TG	DistillateFuelOil_Internal_Combustion_Engine_EP	S15	99048.565	7.86	  15.0	.	.	SIC86	  64.2
Las_Vegas	DistillateFuelOil_Internal_Combustion_Engine_EP	S9	99048.565	26.53	  10.3	.	.	SIC134	   2.0
Linares_Norte	DistillateFuelOil_Internal_Combustion_Engine_EP	S8	99048.565	25.86	   9.5	.	.	SIC141	    .4
Los_Espinos	DistillateFuelOil_Internal_Combustion_Engine_EP	S5	99048.565	26.9	   9.5	.	.	SIC143	 128.0
Los_Sauces	DistillateFuelOil_Internal_Combustion_Engine_EP	S1	99048.565	0	  10.1	.	.	SIC113	   3.0
Maule	DistillateFuelOil_Internal_Combustion_Engine_EP	S14	99048.565	31.65	  12.1	.	.	SIC120	   6.0
Monte_Patria	DistillateFuelOil_Internal_Combustion_Engine_EP	S7	99048.565	0	  10.1	.	.	SIC121	   9.0
Olivos	DistillateFuelOil_Internal_Combustion_Engine_EP	S5	99048.565	25.8	   9.7	.	.	SIC109	  99.0
Placilla	DistillateFuelOil_Internal_Combustion_Engine_EP	S9	99048.565	21.7	  10.1	.	.	SIC138	   3.0
Punitaqui	DistillateFuelOil_Internal_Combustion_Engine_EP	S5	99048.565	0	  10.1	.	.	SIC122	   9.0
Quellon	DistillateFuelOil_Internal_Combustion_Engine_EP	S12	99048.565	0	  10.2	.	.	SIC111	   5.0
Quellon_II	DistillateFuelOil_Internal_Combustion_Engine_EP	S12	99048.565	13.6	  10.2	.	.	SIC118	  10.0
Quintay	DistillateFuelOil_Internal_Combustion_Engine_EP	S9	99048.565	22.41	  10.1	.	.	SIC140	   3.0
San_Gregorio	DistillateFuelOil_Internal_Combustion_Engine_EP	S1	99048.565	25.86	   9.5	.	.	SIC142	    .4
Teno	DistillateFuelOil_Internal_Combustion_Engine_EP	S8	99048.565	28.3	   9.4	.	.	SIC127	  58.0
Termopacifico	DistillateFuelOil_Internal_Combustion_Engine_EP	S16	99048.565	22.43	   9.7	.	.	SIC144	  96.0
Totoral	DistillateFuelOil_Internal_Combustion_Engine_EP	S5	99048.565	25.86	  10.1	.	.	SIC139	   3.0
Traigen	DistillateFuelOil_Internal_Combustion_Engine_EP	S1	99048.565	0	  10.2	.	.	SIC115	   3.0
Trapen	DistillateFuelOil_Internal_Combustion_Engine_EP	S2	99048.565	28.3	   9.4	.	.	SIC126	  81.0
  88	Gas_Combustion_Turbine	S1	412691.480986834	3.693123	   8.6	.	.	  88	.
  89	Gas_Combustion_Turbine	S17	1106767.83302424	3.693123	   8.6	.	.	  89	.
  90	Gas_Combustion_Turbine	S22	72214.9458202253	3.693123	   8.6	.	.	  90	.
  91	Gas_Combustion_Turbine	S22	42768.8625493063	3.693123	   8.6	.	.	  91	.
  92	Gas_Combustion_Turbine	S4	25217.573003275	3.693123	   8.6	.	.	  92	.
  93	Gas_Combustion_Turbine	S4	76124.6417662136	3.693123	   8.6	.	.	  93	.
  94	Gas_Combustion_Turbine	S9	101657.360320637	3.693123	   8.6	.	.	  94	.
  95	Gas_Combustion_Turbine	S9	12945.5878712922	3.693123	   8.6	.	.	  95	.
  96	Gas_Combustion_Turbine	S9	3137.40098732712	3.693123	   8.6	.	.	  96	.
Campanario	Gas_Combustion_Turbine_EP	S1	99048.565	0	  11.1	.	.	SIC104	 219.2
Candelaria_1	Gas_Combustion_Turbine_EP	S4	99048.565	2.8	  11.1	.	.	SIC103	 269.5
Nueva_Renca	Gas_Combustion_Turbine_EP	S6	99048.565	1.9	   7.4	.	.	SIC93	 379.0
Quintero	Gas_Combustion_Turbine_EP	S13	99048.565	3.22	   9.5	.	.	SIC132	 257.0
Taltal_1	Gas_Combustion_Turbine_EP	S17	99048.565	3.19	  11.2	.	.	SIC100	 122.5
Taltal_2	Gas_Combustion_Turbine_EP	S17	99048.565	3.19	  11.2	.	.	SIC99	 122.5
Tapihue	Gas_Combustion_Turbine_EP	S9	99048.565	0	  12.8	.	.	SIC92	   6.4
TERMOELeCTRICA_MEJILLONES_GNL	Gas_Combustion_Turbine_EP	S22	99048.565	4.65	   7.1	.	.	SING19	 250.8
TERMOELeCTRICA_TOCOPILLA_GNL	Gas_Combustion_Turbine_EP	S20	99048.565	3.68	   9.5	.	.	SING25	 437.5
 221	Geothermal	1	982660.42950645	3.4408605	.	.	.	 221	   20.0
 222	Geothermal	1	506431.730609166	3.4408605	.	.	.	 222	   20.0
 223	Geothermal	S1	1018846.06683627	3.4408605	.	.	.	 223	   40.0
 224	Geothermal	S1	885306.724420199	3.4408605	.	.	.	 224	   40.0
 225	Geothermal	S1	921279.285539388	3.4408605	.	.	.	 225	   40.0
 226	Geothermal	S1	731761.53180396	3.4408605	.	.	.	 226	   20.0
