TRANSMISSION_LINE	trans_dbid	trans_derating_factor	trans_terrain_multiplier	trans_new_build_allowed
32	32	.	.	.
33	33	.	.	.
34	34	.	.	.
35	35	.	.	.
36	36	.	.	.
37	37	.	.	.
38	38	.	.	.
39	39	.	.	.
40	40	.	.	.
41	41	.	.	.
42	42	.	.	.
43	43	.	.	.
44	44	.	.	.
45	45	.	.	.
46	46	.	.	.
47	47	.	.	.
48	48	.	.	.
49	49	.	.	.
50	50	.	.	.
51	51	.	.	.
52	52	.	.	.
53	53	.	.	.
54	54	.	.	.
55	55	.	.	.
56	56	.	.	.
57	57	.	.	.
58	58	.	.	.
59	59	.	.	.
60	60	.	.	.
61	61	.	.	.
62	62	.	.	.
127	127	.	.	.
133	133	.	.	.
135	135	.	.	.
